公司名称,企业性质,所属行业,招聘类型,招聘对象,工作地点,岗位,更新时间,截止时间,投递链接,相关公告,笔试情况
新时达,民企,科技,秋招,2027届,上海深圳,"算法工程师,运动控制工程师,AI工程师,软件工程师，模型与应用工程师,软件开发工程师,硬件工程师,结构工程师,机械工程师,机械设计工程师,测试工程师，系统工程师，电气工程师，电机控制工程师,机器学习工程师，电机控制算法工程师,项目工程师,机器人调试工程师,现场工程师,电气设计与调试工程师,财务专员,内控专员",2026/09/01,尽快投递,https://maker.haier.net/client/campus/customizedptjobs/id/84.html,https://mp.weixin.qq.com/s/B5EIPUJg8mGM2dJZXxdQyw,未明确
宏茂微电子,民企,电子/半导体,秋招,2027届,上海武汉,"技术研发类,支援职能类,品质与质量类,生产工程类,SSD项目方向",2026/09/01,尽快投递,https://mp.weixin.qq.com/s/qoE7aDkXbKd6GRdYZhn99Q,https://mp.weixin.qq.com/s/qoE7aDkXbKd6GRdYZhn99Q,未明确
西安航天发动机有限公司,民企,高端装备与国防科技/航空航天,秋招,2027届,西安,"液体火箭发动机技术研发,产品管理,科研生产计划管理,供应链与采购航空宇航科学与技术、航空航天、机械工程、机械设计制造、机械、材料科学与工程、材料、焊接、铸造、锻造、钣金成形、表面处理、热处理、金属材料、无损检测、计算机、软件工程、人工智能、管理科学与工程、工业工程",2026/09/01,尽快投递,https://mp.weixin.qq.com/s/iHXKWRoD_06Kw6RrYKZCyw,https://mp.weixin.qq.com/s/iHXKWRoD_06Kw6RrYKZCyw,未明确
银叶投资,民企,银行/金融/证券/保险,秋招,2027届,上海,"宏观策略投研管培生,利率及衍生品投研管培生,交易管培生,量化投资管培生,渠道业务管培生,机构业务管培生,产品运营管培生,风控管培生,IT管培生金融、数理、计算机、理工科",2026/09/01,尽快投递,https://mp.weixin.qq.com/s/1GnprjqL0xDHV4pzP8Mw5Q,https://mp.weixin.qq.com/s/1GnprjqL0xDHV4pzP8Mw5Q,未明确
达发科技,民企,科技,秋招,2027届,南京苏州成都,系统软件研发工程师，芯片验证工程师,2026/09/01,尽快投递,https://mp.weixin.qq.com/s/Uz4iFAmjF5Yvymr_kRbdYg,https://mp.weixin.qq.com/s/Uz4iFAmjF5Yvymr_kRbdYg,需要笔试
芯慧微,民企,电子/半导体,秋招,2027届,北京上海济南,"数字IC设计工程师-SoC方向,数字IC设计工程师-ILAKEN/PCIE/DDR方向,数字IC设计工程师-DSP/CFG/CMAC方向,数字IC设计工程师-数模混合方向,数字中端工程师,FPGA原型验证工程师,AI编译器工程师,FPGA大模型推理加速工程师,嵌入式软件工程师,硬件工程师,产品工程师微电子、集成电路、电子工程、计算机",2026/09/01,尽快投递,https://app.mokahr.com/campus-recruitment/cwisemicro/182011#/jobs,https://mp.weixin.qq.com/s/0d3L0s57spUkNwV15_9KqQ,未明确
泛林集团,民企,科技,秋招,2027届,"北京,大连,五大连池,上海,无锡,杭州,深圳,成都,西安",Field Service Engineer (设备工程师)、 Field Process Engineer (工艺工程师)电气工程、自动化、机械、微电子、材料、物理、化学、化工,2026/09/01,尽快投递,https://campus.51job.com/lamresearch2027/pc/job.html,https://mp.weixin.qq.com/s/x7N82J6V7hJ8FfInARSZIw,需要笔试
赛赋医药,民企,生物医药/生物制药,秋招,2027届,北京无锡苏州廊坊,"药理药效,药代分析,毒理,病理,类器官,抗体研发,临床检测,试验技术,实验动物兽医·饲养,BD,商务专员,项目管理,质量管理，人力,法务,财务,AI信息化,供应链管理,国际专题负责人(药效/药代/毒理)，国际BD,国际项目管理",2026/09/01,尽快投递,https://safeglp.zhiye.com/campus/jobs,https://mp.weixin.qq.com/s/OSUQeJVWUw7WRf9cx5PEvA,未明确
新和成,民企,生物医药/生物制药,秋招,2027届,绍兴,新未来计划-供应链方向、设备/原料采购专员，化学化工类、过控、仪表自动化类、机械类、电气类、能动类、测控类、药学制药类、生物工程/生物技术类、高分子材料类、食品类、环境类等相关专业,2026/09/01,尽快投递,https://xinhecheng1.zhiye.com/jobs?activityGuid=4e76a37d-15f0-48f3-9e71-d9991a0e2c2d,https://mp.weixin.qq.com/s/_6J-dECad5cSdnBK8-IxgA,未明确
姚记科技,民企,文化传媒/游戏,秋招,2027届,北京上海,"用户运营,内容策划,数据分析,AIGC实习生,游戏策划实习生,游戏测试,实习生,自动化测试实习生,活动运营实习生",2026/09/01,2026-10-31,https://zhaopin.yaoji.cn/,https://mp.weixin.qq.com/s/JBtTnn6-zDEbXOh2OI2Hdg,未明确
卫星集团,民企,材料/化学,秋招,2027届,全国,"研发技术类,生产工艺类,分析检验类,营销业务类,职能管理类,机电仪类",2026/09/01,尽快投递,https://satlpec.zhiye.com/campus/jobs,https://mp.weixin.qq.com/s/N3Bb2xu50GyGsKlsTCrZrg,需要笔试
航天513所,央国企,高端装备与国防科技/航空航天,秋招,2027届,烟台,通信与信息系统、信号与信息处理、电气工程、电路与系统、计算机应用技术、软件工程、测试计量技术及仪器、控制理论与控制工程、电磁场与微波技术、电力电子与电力传动、微电子学与固体电子学,2026/09/01,尽快投递,https://mp.weixin.qq.com/s/7I86FpcfA86mjQ09QivQDw,https://mp.weixin.qq.com/s/7I86FpcfA86mjQ09QivQDw,未明确
戴尔科技,外企,科技,秋招,2027届,北京大连上海厦门,"Global Supply Management, Cost and DataSenior Analyst, Product OperationEngineering，中小企业客户内部销售客户经理，大客户内部销售客户经理，国际商用企业内部销售客户经理，粤语企业内部销售客户经理",2026/09/01,2026-11-30,https://mp.weixin.qq.com/s/cxIO--Dag_XI-QffCGbChg,https://mp.weixin.qq.com/s/cxIO--Dag_XI-QffCGbChg,部分免笔试
紫光同芯,民企,电子/半导体,秋招,2027届,"北京,上海,无锡,武汉,成都,西安","数字设计/验证,模拟设计,功能安全,软件/硬件算法，嵌入式软件/硬件,软件测试,系统工程师,战略/技术市场,ATE测试/可靠性,技术支持,产品管理,客户经理,项目管理,质量管理,流程管理,科技项目管理,AI应用工程师,封测供管,会计,企业管理微电子、计算机、通信工程、软件工程、车辆工程",2026/09/01,尽快投递,https://app.mokahr.com/campus-recruitment/tsinghuaic/39656#/jobs,https://mp.weixin.qq.com/s/cPtCk8n1Dx2EP9khi-XESQ,未明确
龙蟠科技集团,民企,快消/食品/零售/消费,秋招,2027届,"天津,南京,常州,苏州.张家港,宜春,菏泽,襄阳,长沙,宁乡,遂宁,全国","研发管培生，工艺管培生,IT管培生,生产管培生,设备管培生,E管培生,计划管培生,储运管培生,安环管培生,能源管培生,质量管培生,检测管培生,金融管培生，人力管培生,财务管培生,法务管培生,审计管培生,采购管培生,行政管培生,党务管培生,战略管培生,营销管培生，品牌管培生,运营管培生材料类、化学化工类、冶金类、计算机、机械类、电气类、物流类、自动化类、工业工程、安全、质量工程类、分析检测、工商管理类、财会类、法学、印尼语、市场营销、国际贸易、化工、新媒体",2026/09/01,尽快投递,https://lopal.zhiye.com/jobs?activityGuid=e41a69a2-0aa2-4bc3-8ed6-25027c4d9d48,https://mp.weixin.qq.com/s/UGtoHmQQo8BSjKpD-BIu7g,需要笔试
中铁六局北京公司,央国企,国企,秋招,2027届,北京,"技术管理岗,成本管理岗,物资管理岗,机械管理岗,财务管理岗,综合管理岗土木工程、市政工程、建筑工程、隧道工程、测绘工程、给排水、水利水电、城市与地下空间、爆破工程、安全工程、环境工程、无机非金属、工程管理、工程造价、物流管理、物流工程、机械设计与制造、会计学、财务管理、汉语言文学、人力资源管理、行政管理、法学",2026/09/01,尽快投递,https://mp.weixin.qq.com/s/-Nk0MnF5Qoryl-2euua6wA,https://mp.weixin.qq.com/s/-Nk0MnF5Qoryl-2euua6wA,需要笔试
网易有道,民企,教育培训,秋招,2027届,北京宁波广州上海杭州安顺,"全栈开发工程师,A全栈工程师(数据方向)，算法应用工程师,AI Agent应用开发工程师,Al Infra工程师(C++)，大模型算法工程师,计算机视觉/多模态大模型算法工程师,语音交互算法工程师,市场管理培训生,信息学小班主讲,高中教师管培生,高中线下一对一主讲,高中线上一对一主讲,高中线下班课,LLM,Agent/多模态LLM方向,高性能计算",2026/09/01,尽快投递,https://campus.163.com/app/job/position?id=103,https://mp.weixin.qq.com/s/_89ux3nQkJk1FNIjdaiHnw,部分免笔试
中车四方所,央国企,车企/汽车零部件,秋招,2027届,青岛北京南京株洲,"软硬件开发工程师，电气研发工程师,算法工程师，人工智能工程师,机械设计工程师,工艺工程师,焊接工程师,质量工程师,售后工程师,全职博士后控制科学与工程、信息与通信工程、电子信息、电子科学与技术、仪器科学与技术、计算机科学与技术、机械电子工程、电气工程、材料科学与工程、高分子材料方向、通信工程、人工智能、软件工程、应用数学、智能科学与技术、数据科学、大数据技术与工程、机械工程、车辆工程、载运工具运用工程、力学、动力工程及工程热物理、航空宇航科学与技术、可靠性与系统工程、焊接技术与工程、材料成型及控制工程、工业工程、焊接、具身智能、视觉算法、电接触、结构密封",2026/09/01,尽快投递,https://crrc-sfs.hotjob.cn/,https://mp.weixin.qq.com/s/sCMez3z76GF-AUTbfieMmg,需要笔试
和歌山科技,民企,科技,秋招,2027届,湖南珠海河北山东湖北浙江山西内蒙全国各省份,工艺工程师电气工程师工艺电仪技术员施工管理技术员预算员BIM 设计师精细化工,2026/08/31,尽快投递,https://mp.weixin.qq.com/s/hxpRmHKqTB9q_8nIsTh5lA?scene=1&amp;click_id=1874772285&poc_token=HJJUlWqjMD058F1jVRMgGidFT_UHCFVop_1S3HsJ,https://mp.weixin.qq.com/s/hxpRmHKqTB9q_8nIsTh5lA?scene=1&amp;click_id=1874772285&poc_token=HJJUlWqjMD058F1jVRMgGidFT_UHCFVop_1S3HsJ,未明确
海康集团,央国企,科技,秋招,2027届,杭州,算法类半导体类软件研发类硬件研发类营销/技术支持类管理类,2026/08/31,尽快投递,https://wecruit.hotjob.cn/SU630076febef57c3179e31260/pb/school.html,https://mp.weixin.qq.com/s/qtA7eWQpz6XNnKYuEiNfBg,部分免笔试
烽火通信,央国企,国企,秋招,2027届,"南京,苏州,武汉,珠海,成都,西安,海外","芯片研发,软件研发,硬件研发,解决方案,产品测试,技术支持,智能制造,博士专区",2026/08/31,尽快投递,https://app.mokahr.com/campus-recruitment/whfhtx/73922#/jobs,https://mp.weixin.qq.com/s/G4aveL1R6zlBvnZDaBMKxw,需要笔试
中铁五局,央国企,交通运输/仓储物流,秋招,2027届,长沙衡阳成都重庆贵阳广州东莞全国项目所在地,土木城市地下空间城市轨道交通港口航道水利水电采矿给排水科学测绘地质安全无机非金属环境工程工程力学林业工程机械设计制造及其自动化电气工程及其自动化轨道交通信,2026/08/31,尽快投递,https://mp.weixin.qq.com/s/HXZL92BKpd4Zb3NfJzNUgw,https://mp.weixin.qq.com/s/HXZL92BKpd4Zb3NfJzNUgw,未明确
麦米电气,民企,科技,秋招,2027届,"南京,苏州,杭州,义乌,武汉,长沙,株洲,深圳,西安,海外","硬件研发工程师，电力电子软件工程师,嵌入式软件工程师,应用软件工程师,PCB设计工程师,制冷系统工程师，系统研发工程师,产品工程师,磁性器件工程师(开发/认证),IT开发工程师,IT运维工程师,PLC技术工程师,结构设计工程师,机械设计工程师，工艺设计工程师,硬件测试工程师,软件测试工程师,系统测试工程师,EMC工程师,可靠性测试工程师,安规认证工程师,海外销售工程师,国内销售工程师,技术支持工程师(国内/海外),国内生产储干，海外生产储干，装备开发工程师，变压器工程师,IE工程师，工艺工程师,SQE工程师,质量工程师,采购工程师,计划工程师，成本工程师,流程管理工程师,海外会计助理,海外商务专员,项目管理工程师",2026/08/31,尽快投递,https://wecruit.hotjob.cn/SU628dc1272f9d243f296ed241/mc/position/campus?projectCode=201101&showProjectBanner=true,https://mp.weixin.qq.com/s/q1Y-NZQ227oOiIvZT-BeUg,部分免笔试
清原农冠,民企,生物医药/生物制药,秋招,2027届,全国,"生测研究员,境外登记专员,国内登记专员,有机合成研究员,工艺工程师,蛋白纯化研究员,发酵研究员,作物育种研究员，大豆/玉米技术开发,急性毒性工程师，慢性致癌工程师,兽医工程师,营养分析工程师,农药残留工程师,生态毒理工程师,制剂助理工程师,QA工程师,营销管培生,见习业务助理,财务管培生，人力管培生,应用支持工程师,战略分析师农学类、化学类、药学类、生物学、生命科学类、专业不限、生物类、市场营销、管理类、财会类、计算机类",2026/08/31,尽快投递,https://app.mokahr.com/campus-recruitment/kingagroot/56082?locale=zh-CN#/jobs?page=1&anchorName=jobsList,https://mp.weixin.qq.com/s/8ZZuygsbwqnB-9u6i_ILtA,未明确
ICRD,民企,电子/半导体,秋招,2027届,上海,工艺研发类IC设计类设备类AI/IT技术类产品测试类产品质量类智能制造类动力类,2026/08/31,尽快投递,https://app.mokahr.com/campus-recruitment/icrd/126587?locale=zh-CN&sessionid=#/jobs/,https://mp.weixin.qq.com/s/Atke2V3eqqZAYOg2Pt5M9w,未明确
福耀集团,民企,先进制造,秋招,2027届,"天津,通辽,沈阳,本溪,长春,上海,苏州,合肥,福州,厦门,郑州,荆门,广州,柳州,重庆,成都","研发技术,产品设计,产品开发,质量管理,工艺技术,设备技术,工业工程,信息技术,财务会计，人力资源,商务销售,市场营销,物流管理,采购管理,销售跟单,环境安全,体系内审,生产管理",2026/08/31,尽快投递,https://job.fuyaogroup.com/fuyao/position/index?projectId=6a752162d3d9c2792c84e535&recruitmentType=CAMPUSRECRUITMENT,https://mp.weixin.qq.com/s/VVWS-cSK5_MShq2z4FdYxA,未明确
法睿兰达,民企,科技,秋招,2027届,"上海,苏州,青岛,武汉,广州,重庆","运动控制算法,感知算法,SLAM算法,规划算法,调度算法,具身算法,嵌入式,软件开发,机械研发,电气研发,机械设计,电气设计,电气调试,软件设计,销售工程师,方案规划,市场运营,项目管理,供应链,人力,财务",2026/08/31,尽快投递,http://www.fairylandtech.com/personnel.html#c_grid-1649416843917,https://mp.weixin.qq.com/s/tx3rOd4o-qCEbPNGKKP5mQ,未明确
心动×TapTap,民企,文化传媒/游戏,秋招,2027届,上海,"2D场景原画,3D角色,2D角色原画,3D场景,3D特效,3D动作,AIGC设计,交互设计,游戏UI设计,影视,游戏投放素材制作,游戏美术,游戏视觉设计，系统策划，战斗策划,数值策划,游戏策划,游戏全栈,关卡策划,客户端开发(UI)，后端开发,AI游戏引擎开发,AI游戏全栈开发,Agent开发,商业化工程,算法,商业化算法，数据开发,搜索推荐算法,AI编导,AI创作,AI产品工程师,产品运营,KA商业化运营,开发者运营-AI方向,广告销售助理，开发者运营,商务",2026/08/31,尽快投递,https://xd-legacy.jobs.feishu.cn/117745/position/list?keywords=&category=&location=&project=&type=&job_hot_flag=&current=1&limit=10&functionCategory=&tag=&spread=MYEW6ZE&storefront_id_list=,https://mp.weixin.qq.com/s/x5bUqN1YQH-4J-Y6FRy8Tg,需要笔试
嘉懿萃私募,民企,银行/金融/证券/保险,秋招,2027届,上海,股票量化策略研究员 宏观量化策略研究员可转债量化策略研究员CTA策略研究员交易系统工程师策略系统工程师机器学习平台工程师数据工程师算力集群工程师,2026/08/31,尽快投递,https://mp.weixin.qq.com/s/1EBOevLn0681y9183xBq9A,https://mp.weixin.qq.com/s/1EBOevLn0681y9183xBq9A,未明确
BDA咨询,外企,商务服务/咨询,秋招,2027届,北京,投资分析师，专业不限,2026/08/31,2026-10-11,https://mp.weixin.qq.com/s/mXFhWFHNXeaelrIJFfRWIA,https://mp.weixin.qq.com/s/mXFhWFHNXeaelrIJFfRWIA,未明确
博瑞电力,民企,能源/电力,秋招,2027届,常州,"研发工程师,设计工程师,工艺工程师,信息技术工程师,财务会计,服务工程师,试验工程师,调试工程师,装配工程师,数控工程师,质量工程师,安全工程师电气工程、控制工程、电子信息、机械流体、工业工程、工程热物理、光学工程、腐蚀科学与防护、材料工程、信息安全、人工智能、软件工程、计算机科学与技术、财会类相关专业、电气工程及其自动化、电子信息工程、自动化、能源与动力工程、机械制造及其自动化、智能制造、质量工程、安全工程",2026/08/31,尽快投递,https://nrec1.zhiye.com/campus/jobs,https://mp.weixin.qq.com/s/oaaeI9hKgK-xEddaCxAYmw,未明确
BDO立信,民企,专业服务,秋招,2027届,"北京,天津,上海,无锡,苏州,杭州,宁波,厦门,深圳,珠海,佛山,重庆",审计员IT审计员咨询顾问工程咨询员税审员评估员数据分析员,2026/08/31,尽快投递,https://bdochina.zhiye.com/campus/jobs,https://mp.weixin.qq.com/s/4PKAeRhWpOT9zn2rfMO9bw,需要笔试
精进电动,民企,科技,秋招,2027届,北京石家庄菏泽,"变速器传动设计工程师，电机产品机械工程师，电机仿真分析工程师,控制器机械工程师,控制器硬件工程师,设备管理工程师,电机与动力系统测试工程师，振动噪音工程师,产品验证工程师,动力系统开发与应用工程师,测试工艺机械工程师,测试工艺软件工程师,冲压工艺工程师,电力电子工艺工程师,电气工程师,定子工艺工程师,定子设备工程师,工艺装配工程师,机械设备工程师,项目管理工程师,MES工程师，计划专员,项目助理,质量工程师机械类、电气类、自动化类、控制类",2026/08/31,尽快投递,https://wecruit.hotjob.cn/SU66d7f4aa6202cc2d4991438b/pb/school.html,https://mp.weixin.qq.com/s/LdSswLoPi83S-zUEA-D0Wg,部分免笔试
